HomeTeam,AwayTeam,FTR
Liverpool,Arsenal,H
'Aston Villa',Arsenal,H
Barnsley,'Man United',A
Blackburn,Newcastle,H
Chelsea,Bolton,H
'Crystal Palace','Sheffield Weds',H
Derby,Liverpool,H
Everton,Coventry,D
Leeds,Wimbledon,D
Tottenham,Southampton,D
'West Ham',Leicester,H
Blackburn,Derby,D
Coventry,Chelsea,H
Everton,'Aston Villa',D
'Man United',Leicester,D
Middlesbrough,Leeds,D
Newcastle,Charlton,D
'Sheffield Weds','West Ham',A
Wimbledon,Tottenham,H
Southampton,Liverpool,A
Arsenal,'Nottm Forest',H
Charlton,Southampton,H
Chelsea,Newcastle,D
Derby,Wimbledon,D
Leicester,Everton,H
Liverpool,Arsenal,D
'Nottm Forest',Coventry,H
Tottenham,'Sheffield Weds',A
'West Ham','Man United',D
'Aston Villa',Middlesbrough,H
Leeds,Blackburn,H
Arsenal,Charlton,D
Blackburn,Leicester,H
Coventry,'West Ham',D
Everton,Tottenham,A
Middlesbrough,Derby,D
'Sheffield Weds','Aston Villa',A
Southampton,'Nottm Forest',A
Wimbledon,Leeds,D
Newcastle,Liverpool,A
Leeds,Southampton,H
'Nottm Forest',Everton,A
'Aston Villa',Newcastle,H
Chelsea,Arsenal,D
Derby,'Sheffield Weds',H
Leicester,Middlesbrough,A
Liverpool,Coventry,H
'Man United',Charlton,H
Tottenham,Blackburn,H
'West Ham',Wimbledon,A
'Aston Villa',Wimbledon,H
Charlton,Derby,A
Chelsea,'Nottm Forest',H
Everton,Leeds,D
Leicester,Arsenal,D
'Man United',Coventry,H
Newcastle,Southampton,H
'Sheffield Weds',Blackburn,H
'West Ham',Liverpool,H
Tottenham,Middlesbrough,A
Coventry,Newcastle,A
Derby,Leicester,H
Leeds,'Aston Villa',D
Liverpool,Charlton,D
Middlesbrough,Everton,D
'Nottm Forest','West Ham',D
Southampton,Tottenham,D
Wimbledon,'Sheffield Weds',H
Arsenal,'Man United',H
Blackburn,Chelsea,A
'Man United',Liverpool,H
'Aston Villa',Derby,H
Charlton,Coventry,D
Chelsea,Middlesbrough,H
Everton,Blackburn,D
Newcastle,'Nottm Forest',H
'Sheffield Weds',Arsenal,H
Tottenham,Leeds,D
Leicester,Wimbledon,D
'West Ham',Southampton,H
Blackburn,'West Ham',H
Coventry,'Aston Villa',A
Derby,Tottenham,A
Leeds,Leicester,A
Middlesbrough,'Sheffield Weds',H
'Nottm Forest',Charlton,A
Southampton,'Man United',A
Wimbledon,Everton,A
Arsenal,Newcastle,H
Liverpool,Chelsea,D
Arsenal,Southampton,D
Chelsea,Charlton,H
Everton,Liverpool,D
'Man United',Wimbledon,H
Middlesbrough,Blackburn,H
Newcastle,Derby,H
'Nottm Forest',Leeds,D
'West Ham','Aston Villa',D
Coventry,'Sheffield Weds',H
Leicester,Tottenham,H
'Aston Villa',Leicester,D
Charlton,'West Ham',H
Derby,'Man United',D
Liverpool,'Nottm Forest',H
'Sheffield Weds',Everton,D
Southampton,Coventry,H
Tottenham,Newcastle,H
Wimbledon,Middlesbrough,D
Blackburn,Arsenal,A
Leeds,Chelsea,D
Coventry,Arsenal,A
Derby,Leeds,D
Everton,'Man United',A
Leicester,Liverpool,H
Newcastle,'West Ham',A
'Sheffield Weds',Southampton,D
Wimbledon,Blackburn,D
Middlesbrough,'Nottm Forest',D
Tottenham,Charlton,D
'Aston Villa',Tottenham,H
Blackburn,Coventry,A
Charlton,Leicester,D
Liverpool,Derby,A
'Nottm Forest',Wimbledon,A
Southampton,Middlesbrough,D
Arsenal,Everton,H
Leeds,'Sheffield Weds',H
'Man United',Newcastle,D
'West Ham',Chelsea,D
Arsenal,Tottenham,D
Charlton,Middlesbrough,D
Chelsea,Wimbledon,H
Liverpool,Leeds,A
'Man United',Blackburn,H
Newcastle,'Sheffield Weds',D
Southampton,'Aston Villa',A
'West Ham',Leicester,H
Coventry,Everton,H
'Nottm Forest',Derby,D
'Aston Villa',Liverpool,A
Blackburn,Southampton,A
Leeds,Charlton,H
Leicester,Chelsea,A
Middlesbrough,Coventry,H
'Sheffield Weds','Man United',H
Tottenham,'Nottm Forest',H
Wimbledon,Arsenal,H
Derby,'West Ham',A
Everton,Newcastle,H
Charlton,Everton,A
Chelsea,'Sheffield Weds',D
Coventry,Leicester,D
Newcastle,Wimbledon,H
'Nottm Forest','Aston Villa',D
Southampton,Derby,A
'West Ham',Tottenham,H
Arsenal,Middlesbrough,D
Liverpool,Blackburn,H
'Man United',Leeds,H
'Aston Villa','Man United',D
Blackburn,Charlton,H
Derby,Arsenal,D
Everton,Chelsea,D
Leeds,'West Ham',H
Leicester,Southampton,H
Tottenham,Liverpool,H
Wimbledon,Coventry,H
Middlesbrough,Newcastle,D
'Sheffield Weds','Nottm Forest',H
Chelsea,'Aston Villa',H
Blackburn,Newcastle,D
Derby,Chelsea,D
Everton,Southampton,H
Leicester,'Nottm Forest',H
Middlesbrough,'West Ham',H
'Sheffield Weds',Charlton,H
Tottenham,'Man United',D
'Aston Villa',Arsenal,H
Wimbledon,Liverpool,H
Leeds,Coventry,H
'Man United',Chelsea,D
Chelsea,Tottenham,H
Coventry,Derby,D
Liverpool,'Sheffield Weds',H
'Man United',Middlesbrough,A
Newcastle,Leicester,H
'Nottm Forest',Blackburn,D
Southampton,Wimbledon,H
'West Ham',Everton,H
Arsenal,Leeds,H
Charlton,'Aston Villa',A
Arsenal,'West Ham',H
Blackburn,'Aston Villa',H
Coventry,Tottenham,D
Everton,Derby,D
'Man United','Nottm Forest',H
Middlesbrough,Liverpool,A
Newcastle,Leeds,A
'Sheffield Weds',Leicester,A
Southampton,Chelsea,A
Wimbledon,Charlton,H
'Aston Villa','Sheffield Weds',H
Charlton,Arsenal,A
Derby,Middlesbrough,H
Leicester,Blackburn,D
Liverpool,Newcastle,H
'Nottm Forest',Southampton,D
Tottenham,Everton,H
'West Ham',Coventry,H
Chelsea,'Man United',D
Leeds,Wimbledon,D
Arsenal,Liverpool,D
Blackburn,Leeds,H
Coventry,'Nottm Forest',H
Everton,Leicester,D
Middlesbrough,'Aston Villa',D
Newcastle,Chelsea,A
'Sheffield Weds',Tottenham,D
Southampton,Charlton,H
Wimbledon,Derby,H
'Man United','West Ham',H
Chelsea,Coventry,H
Derby,Blackburn,H
Leeds,Middlesbrough,H
Leicester,'Man United',A
Liverpool,Southampton,H
'Nottm Forest',Arsenal,A
Tottenham,Wimbledon,D
'West Ham','Sheffield Weds',A
Charlton,Newcastle,D
'Aston Villa',Everton,H
Blackburn,Tottenham,D
Coventry,Liverpool,H
Everton,'Nottm Forest',A
Middlesbrough,Leicester,D
Newcastle,'Aston Villa',H
'Sheffield Weds',Derby,A
Southampton,Leeds,H
Wimbledon,'West Ham',D
Arsenal,Chelsea,H
Charlton,'Man United',A
'Man United',Derby,H
'Aston Villa',Blackburn,A
Chelsea,Southampton,H
Leeds,Newcastle,A
Leicester,'Sheffield Weds',A
Liverpool,Middlesbrough,H
'Nottm Forest','Man United',A
Tottenham,Coventry,D
'West Ham',Arsenal,A
Derby,Everton,H
Charlton,Wimbledon,H
Charlton,Liverpool,H
'West Ham','Nottm Forest',H
'Aston Villa',Leeds,A
Chelsea,Blackburn,D
Everton,Middlesbrough,H
'Man United',Arsenal,D
Newcastle,Coventry,H
Arsenal,Leicester,H
Blackburn,'Sheffield Weds',A
Coventry,'Man United',A
Derby,Charlton,A
Leeds,Everton,H
Liverpool,'West Ham',D
Middlesbrough,Tottenham,D
'Nottm Forest',Chelsea,A
Southampton,Newcastle,H
Wimbledon,'Aston Villa',D
'Aston Villa',Coventry,A
Charlton,'Nottm Forest',D
Chelsea,Liverpool,H
Everton,Wimbledon,D
'Man United',Southampton,H
'Sheffield Weds',Middlesbrough,H
Tottenham,Derby,D
'West Ham',Blackburn,H
Newcastle,Arsenal,D
Leicester,Leeds,A
Tottenham,Southampton,H
'Sheffield Weds',Wimbledon,A
Coventry,Charlton,H
Southampton,'West Ham',H
Wimbledon,Leicester,A
Arsenal,'Sheffield Weds',H
Blackburn,Everton,A
Derby,'Aston Villa',H
Leeds,Tottenham,H
'Nottm Forest',Newcastle,A
Chelsea,'West Ham',A
Coventry,Blackburn,D
Derby,Liverpool,H
Everton,Arsenal,A
Leicester,Charlton,D
Newcastle,'Man United',A
'Sheffield Weds',Leeds,A
Tottenham,'Aston Villa',H
Wimbledon,'Nottm Forest',A
Middlesbrough,Southampton,H
Arsenal,Coventry,H
Blackburn,Wimbledon,H
Leeds,Derby,H
'Nottm Forest',Middlesbrough,A
Southampton,'Sheffield Weds',H
'West Ham',Newcastle,H
'Aston Villa',Chelsea,A
'Man United',Everton,H
'Aston Villa','West Ham',D
Blackburn,Middlesbrough,D
Charlton,Chelsea,A
Derby,Newcastle,A
Leeds,'Nottm Forest',H
Liverpool,Everton,H
'Sheffield Weds',Coventry,A
Southampton,Arsenal,D
Tottenham,Leicester,A
Wimbledon,'Man United',D
Coventry,Southampton,H
Everton,'Sheffield Weds',A
Middlesbrough,Wimbledon,H
Newcastle,Tottenham,D
'Nottm Forest',Liverpool,D
'West Ham',Charlton,A
Arsenal,Blackburn,H
Leicester,'Aston Villa',D
'Aston Villa',Southampton,H
Derby,'Nottm Forest',H
Leicester,'West Ham',D
Middlesbrough,Charlton,H
Everton,Coventry,H
Wimbledon,Chelsea,A
Leeds,Liverpool,D
Middlesbrough,Chelsea,D
Charlton,Leeds,D
Coventry,Middlesbrough,A
Liverpool,'Aston Villa',A
'Man United','Sheffield Weds',H
Newcastle,Everton,A
'Nottm Forest',Tottenham,A
Southampton,Blackburn,D
'West Ham',Derby,H
Chelsea,Leicester,D
Arsenal,Wimbledon,H
Charlton,Tottenham,A
Liverpool,Leicester,A
'Sheffield Weds',Newcastle,D
'Aston Villa','Nottm Forest',H
Blackburn,Liverpool,A
Derby,Southampton,D
Everton,Charlton,H
Leicester,Coventry,H
Middlesbrough,Arsenal,A
Tottenham,'West Ham',A
Wimbledon,Newcastle,D
Leeds,'Man United',D
'Sheffield Weds',Chelsea,D
Charlton,Blackburn,D
Chelsea,Everton,H
Coventry,Wimbledon,H
Liverpool,Tottenham,H
'Man United','Aston Villa',H
Newcastle,Middlesbrough,D
'Nottm Forest','Sheffield Weds',H
Southampton,Leicester,H
'West Ham',Leeds,A
Arsenal,Derby,H
Chelsea,Leeds,H
Leicester,Derby,A
Liverpool,'Man United',D
Tottenham,Arsenal,A
'Aston Villa',Charlton,A
Blackburn,'Nottm Forest',A
Derby,Coventry,D
Everton,'West Ham',H
Leicester,Newcastle,H
'Sheffield Weds',Liverpool,H
Wimbledon,Southampton,A
Middlesbrough,'Man United',A
Tottenham,Chelsea,D
Leeds,Arsenal,H
Blackburn,'Man United',D
Arsenal,'Aston Villa',H
Charlton,'Sheffield Weds',A
Chelsea,Derby,H
Coventry,Leeds,D
Liverpool,Wimbledon,H
'Man United',Tottenham,H
Newcastle,Blackburn,D
'Nottm Forest',Leicester,H
Southampton,Everton,H
'West Ham',Middlesbrough,H
Arsenal,Leicester,H
Chelsea,Sunderland,H
Coventry,Southampton,A
Leeds,Derby,D
Middlesbrough,Bradford,A
Newcastle,'Aston Villa',A
'Sheffield Weds',Liverpool,A
Watford,Wimbledon,A
'West Ham',Tottenham,H
Everton,'Man United',D
Tottenham,Newcastle,H
Derby,Arsenal,A
Sunderland,Watford,H
Wimbledon,Middlesbrough,A
'Aston Villa',Everton,H
Leicester,Coventry,H
'Man United','Sheffield Weds',H
Southampton,Leeds,A
Bradford,'Sheffield Weds',D
Derby,Middlesbrough,A
Leicester,Chelsea,D
Liverpool,Watford,A
'Man United',Leeds,H
Sunderland,Arsenal,D
Tottenham,Everton,H
Wimbledon,Coventry,D
Southampton,Newcastle,H
'Aston Villa','West Ham',D
Chelsea,'Aston Villa',H
Coventry,Derby,H
Everton,Southampton,H
Leeds,Sunderland,H
Middlesbrough,Liverpool,H
Newcastle,Wimbledon,D
'Sheffield Weds',Tottenham,A
Watford,Bradford,H
'West Ham',Leicester,H
Arsenal,'Man United',A
Leeds,Liverpool,A
Middlesbrough,Leicester,A
Watford,'Aston Villa',A
Arsenal,Bradford,H
Coventry,'Man United',A
Everton,Wimbledon,H
Newcastle,Sunderland,A
'Sheffield Weds',Derby,A
'Aston Villa',Middlesbrough,H
Bradford,'West Ham',A
Derby,Everton,H
Liverpool,Arsenal,H
Southampton,'Sheffield Weds',H
Tottenham,Leeds,A
Wimbledon,Chelsea,A
Sunderland,Coventry,D
Leicester,Watford,H
'Man United',Newcastle,H
Arsenal,'Aston Villa',H
Chelsea,Newcastle,H
Coventry,Leeds,A
Liverpool,'Man United',A
Middlesbrough,Southampton,H
'Sheffield Weds',Everton,A
Sunderland,Leicester,H
'West Ham',Watford,H
Wimbledon,Derby,D
Bradford,Tottenham,D
'Aston Villa',Bradford,H
Derby,Sunderland,A
Leicester,Liverpool,D
'Man United',Wimbledon,D
Southampton,Arsenal,A
Watford,Chelsea,H
Everton,'West Ham',H
Leeds,Middlesbrough,H
Newcastle,'Sheffield Weds',H
Tottenham,Coventry,H
Arsenal,Watford,H
Coventry,'West Ham',H
Derby,Bradford,A
Leeds,Newcastle,H
Leicester,'Aston Villa',H
'Man United',Southampton,D
Middlesbrough,Chelsea,A
Sunderland,'Sheffield Weds',H
Wimbledon,Tottenham,D
Liverpool,Everton,A
'Aston Villa',Liverpool,D
Bradford,Sunderland,A
Everton,Coventry,D
'Sheffield Weds',Wimbledon,H
Chelsea,'Man United',H
Newcastle,Middlesbrough,H
Tottenham,Leicester,A
Watford,Leeds,A
'West Ham',Arsenal,H
Southampton,Derby,D
Arsenal,Everton,H
Coventry,Newcastle,H
Derby,Tottenham,A
Leeds,'Sheffield Weds',H
Leicester,Southampton,H
Liverpool,Chelsea,H
'Man United',Watford,H
Wimbledon,Bradford,H
Middlesbrough,'West Ham',H
Sunderland,'Aston Villa',H
'Aston Villa',Wimbledon,D
Bradford,Leicester,H
Chelsea,Arsenal,A
'Sheffield Weds',Coventry,D
Southampton,Liverpool,D
Tottenham,'Man United',H
Everton,Leeds,D
Watford,Middlesbrough,A
'West Ham',Sunderland,D
Newcastle,Derby,H
Liverpool,'West Ham',H
Arsenal,Newcastle,D
Derby,Chelsea,H
Leeds,'West Ham',H
Leicester,'Sheffield Weds',H
'Man United','Aston Villa',H
Middlesbrough,Everton,H
Wimbledon,Southampton,D
Coventry,Watford,H
Sunderland,Tottenham,H
Liverpool,Bradford,H
'Aston Villa',Southampton,A
Bradford,Coventry,D
Liverpool,Derby,H
'Man United',Leicester,H
Middlesbrough,Sunderland,D
'Sheffield Weds',Watford,D
Chelsea,'West Ham',D
Newcastle,Everton,D
Tottenham,Arsenal,H
Wimbledon,Leeds,H
Arsenal,Middlesbrough,H
Derby,'Man United',A
Everton,Chelsea,D
Leeds,Bradford,H
Leicester,Wimbledon,H
Southampton,Tottenham,A
Sunderland,Liverpool,A
Watford,Newcastle,D
'West Ham','Sheffield Weds',H
Coventry,'Aston Villa',H
Coventry,Leicester,A
Everton,'Aston Villa',D
Middlesbrough,Wimbledon,D
Watford,Sunderland,A
'West Ham',Liverpool,H
Arsenal,Derby,H
Chelsea,Bradford,H
Leeds,Southampton,H
Newcastle,Tottenham,H
'Aston Villa',Newcastle,A
Bradford,Middlesbrough,D
Leicester,Arsenal,A
'Man United',Everton,H
Southampton,Coventry,D
Sunderland,Chelsea,H
Wimbledon,Watford,H
Derby,Leeds,A
Liverpool,'Sheffield Weds',H
Tottenham,'West Ham',D
Arsenal,Wimbledon,D
'Aston Villa','Sheffield Weds',H
Bradford,Newcastle,H
Leicester,Derby,A
Liverpool,Coventry,H
Middlesbrough,Tottenham,H
Sunderland,Southampton,H
Watford,Everton,A
'West Ham','Man United',A
Chelsea,Leeds,A
Coventry,Arsenal,H
Derby,'Aston Villa',A
Everton,Sunderland,H
Leeds,Leicester,H
'Man United',Bradford,H
Newcastle,Liverpool,D
'Sheffield Weds',Middlesbrough,H
Southampton,Chelsea,A
Tottenham,Watford,H
Wimbledon,'West Ham',D
Arsenal,Leeds,H
Bradford,Everton,D
Leicester,Newcastle,A
Liverpool,Wimbledon,H
Sunderland,'Man United',D
Watford,Southampton,H
'West Ham',Derby,D
'Aston Villa',Tottenham,D
Chelsea,'Sheffield Weds',H
Derby,Watford,H
Everton,Leicester,D
Leeds,'Aston Villa',A
Newcastle,'West Ham',D
'Sheffield Weds',Arsenal,D
Southampton,Bradford,H
Tottenham,Liverpool,H
Wimbledon,Sunderland,H
Coventry,Chelsea,D
Bradford,Chelsea,D
Chelsea,Tottenham,H
Arsenal,Sunderland,H
Chelsea,Leicester,D
Coventry,Wimbledon,H
Everton,Tottenham,D
Middlesbrough,Derby,A
'Sheffield Weds',Bradford,H
Watford,Liverpool,A
'West Ham','Aston Villa',D
Newcastle,Southampton,H
'Aston Villa',Chelsea,D
Bradford,Watford,H
Derby,Coventry,D
Leicester,'West Ham',A
Liverpool,Middlesbrough,D
Southampton,Everton,H
Tottenham,'Sheffield Weds',A
Wimbledon,Newcastle,H
Sunderland,Leeds,A
'Man United',Arsenal,D
'Man United',Middlesbrough,H
'Sheffield Weds','Man United',A
'Aston Villa',Watford,H
Bradford,Arsenal,H
Derby,'Sheffield Weds',D
Leicester,Middlesbrough,H
Liverpool,Leeds,H
'Man United',Coventry,H
Southampton,'West Ham',H
Sunderland,Newcastle,D
Tottenham,Chelsea,A
Wimbledon,Everton,A
Chelsea,Wimbledon,H
Coventry,Sunderland,H
Everton,Derby,H
Leeds,Tottenham,H
Newcastle,'Man United',H
'Sheffield Weds',Southampton,A
Watford,Leicester,D
'West Ham',Bradford,H
Arsenal,Liverpool,A
Middlesbrough,'Aston Villa',A
Middlesbrough,Coventry,H
Leeds,'Man United',A
Arsenal,Southampton,H
Bradford,'Aston Villa',D
Chelsea,Watford,H
Coventry,Tottenham,A
Middlesbrough,Leeds,D
'Sheffield Weds',Newcastle,A
Sunderland,Derby,D
'West Ham',Everton,A
Wimbledon,'Man United',D
Derby,Wimbledon,H
Everton,'Sheffield Weds',D
'Man United',Liverpool,D
Newcastle,Chelsea,A
Southampton,Middlesbrough,D
Tottenham,Bradford,D
Watford,'West Ham',A
'Aston Villa',Arsenal,D
Leeds,Coventry,H
Leicester,Sunderland,H
'West Ham',Southampton,H
'Aston Villa',Coventry,H
Chelsea,Everton,D
Liverpool,Sunderland,D
'Man United',Derby,H
Newcastle,Watford,H
'Sheffield Weds','West Ham',H
Tottenham,Southampton,H
Wimbledon,Leicester,H
Bradford,Leeds,A
Middlesbrough,Arsenal,H
Coventry,Everton,H
Liverpool,'Aston Villa',D
Coventry,Bradford,H
Derby,Liverpool,A
Leicester,'Man United',A
Southampton,'Aston Villa',H
Sunderland,Middlesbrough,D
Watford,'Sheffield Weds',H
'West Ham',Chelsea,D
Arsenal,Tottenham,H
Everton,Newcastle,A
Leeds,Wimbledon,H
'Aston Villa',Derby,H
Bradford,'Man United',A
Chelsea,Southampton,D
Liverpool,Newcastle,H
Middlesbrough,'Sheffield Weds',H
Sunderland,Everton,H
Watford,Tottenham,D
Arsenal,Coventry,H
Leicester,Leeds,H
'West Ham',Wimbledon,H
Coventry,Liverpool,A
Everton,Watford,H
Leeds,Chelsea,A
'Man United','West Ham',H
Newcastle,Bradford,H
Southampton,Sunderland,A
Wimbledon,Arsenal,A
Derby,Leicester,H
Tottenham,Middlesbrough,A
'Sheffield Weds','Aston Villa',A
Bradford,Southampton,A
Leicester,Everton,D
Sunderland,Wimbledon,H
Watford,Derby,D
'Aston Villa',Leeds,H
Liverpool,Tottenham,H
Middlesbrough,'Man United',A
Chelsea,Coventry,H
'West Ham',Newcastle,H
Wimbledon,'Sheffield Weds',A
Coventry,Middlesbrough,H
Derby,'West Ham',A
Everton,Bradford,H
'Man United',Sunderland,H
Newcastle,Leicester,A
'Sheffield Weds',Chelsea,H
Southampton,Watford,H
Tottenham,'Aston Villa',A
Leeds,Arsenal,A
Wimbledon,Liverpool,A
Leicester,Tottenham,A
Bradford,Derby,D
Everton,Liverpool,D
'Aston Villa',Leicester,D
Chelsea,Middlesbrough,D
'Sheffield Weds',Sunderland,A
Southampton,'Man United',A
Tottenham,Wimbledon,H
'West Ham',Coventry,H
Newcastle,Leeds,D
Watford,Arsenal,A
Derby,Southampton,H
'Man United',Chelsea,H
Sunderland,Bradford,A
'Aston Villa',Sunderland,D
Chelsea,Liverpool,H
Everton,Arsenal,A
Newcastle,Coventry,H
Southampton,Leicester,A
Tottenham,Derby,D
Watford,'Man United',A
'West Ham',Middlesbrough,A
Bradford,Wimbledon,H
'Sheffield Weds',Leeds,A
Arsenal,'West Ham',H
Middlesbrough,Newcastle,D
Leeds,Watford,H
Liverpool,Leicester,A
Arsenal,Chelsea,H
Coventry,'Sheffield Weds',H
Derby,Newcastle,D
Leicester,Bradford,H
'Man United',Tottenham,H
Middlesbrough,Watford,D
Sunderland,'West Ham',H
Wimbledon,'Aston Villa',D
Liverpool,Southampton,D
Leeds,Everton,D
Arsenal,'Sheffield Weds',D
'Aston Villa','Man United',A
Bradford,Liverpool,H
Chelsea,Derby,H
Everton,Middlesbrough,A
Newcastle,Arsenal,H
'Sheffield Weds',Leicester,H
Southampton,Wimbledon,H
Tottenham,Sunderland,H
Watford,Coventry,H
'West Ham',Leeds,D
Charlton,'Man City',H
Chelsea,'West Ham',H
Coventry,Middlesbrough,A
Derby,Southampton,D
Leeds,Everton,H
Leicester,'Aston Villa',D
Liverpool,Bradford,H
Sunderland,Arsenal,H
Tottenham,Ipswich,H
'Man United',Newcastle,H
Arsenal,Liverpool,H
Bradford,Chelsea,H
Ipswich,'Man United',D
Middlesbrough,Tottenham,D
Everton,Charlton,H
'Man City',Sunderland,H
Newcastle,Derby,H
Southampton,Coventry,A
'West Ham',Leicester,A
Arsenal,Charlton,H
Bradford,Leicester,D
Everton,Derby,D
Ipswich,Sunderland,H
'Man City',Coventry,A
Middlesbrough,Leeds,A
Newcastle,Tottenham,H
Southampton,Liverpool,D
'West Ham','Man United',D
'Aston Villa',Chelsea,D
Leeds,'Man City',A
'Man United',Bradford,H
Sunderland,'West Ham',D
Tottenham,Everton,H
Charlton,Southampton,D
Chelsea,Arsenal,D
Coventry,Newcastle,A
Derby,Middlesbrough,D
Leicester,Ipswich,H
Liverpool,'Aston Villa',H
Bradford,Arsenal,D
Coventry,Leeds,D
Ipswich,'Aston Villa',A
Leicester,Southampton,H
Liverpool,'Man City',H
'Man United',Sunderland,H
Middlesbrough,Everton,A
Newcastle,Chelsea,D
Derby,Charlton,D
Tottenham,'West Ham',H
Arsenal,Coventry,H
'Aston Villa',Bradford,H
Charlton,Tottenham,H
Everton,'Man United',A
Leeds,Ipswich,A
Southampton,Newcastle,H
Sunderland,Derby,H
Chelsea,Leicester,A
'Man City',Middlesbrough,D
'West Ham',Liverpool,D
Bradford,Southampton,A
Coventry,'West Ham',A
Derby,Leeds,D
Ipswich,Arsenal,D
Liverpool,Sunderland,D
'Man United',Chelsea,D
Middlesbrough,'Aston Villa',D
Newcastle,Charlton,A
Tottenham,'Man City',D
Leicester,Everton,D
'Aston Villa',Derby,H
Charlton,Coventry,D
Everton,Ipswich,A
Leeds,Tottenham,H
'Man City',Newcastle,A
Southampton,Middlesbrough,A
'West Ham',Bradford,D
Arsenal,'Man United',H
Chelsea,Liverpool,H
Sunderland,Leicester,D
Arsenal,'Aston Villa',H
Coventry,Tottenham,H
Everton,Southampton,D
Ipswich,'West Ham',D
Leeds,Charlton,H
Leicester,'Man United',A
'Man City',Bradford,H
Sunderland,Chelsea,H
Derby,Liverpool,A
Middlesbrough,Newcastle,A
Bradford,Ipswich,A
Charlton,Middlesbrough,H
Chelsea,Coventry,H
Liverpool,Leicester,H
'Man United',Leeds,H
Newcastle,Everton,A
Tottenham,Derby,H
'West Ham',Arsenal,A
'Aston Villa',Sunderland,D
Southampton,'Man City',A
Arsenal,'Man City',H
'Aston Villa',Charlton,H
Chelsea,Tottenham,H
Ipswich,Middlesbrough,H
Leicester,Derby,H
'Man United',Southampton,H
Sunderland,Coventry,H
'West Ham',Newcastle,H
Bradford,Leeds,D
Liverpool,Everton,H
Charlton,Bradford,H
Coventry,'Man United',A
Leeds,Liverpool,H
'Man City',Leicester,A
Middlesbrough,Arsenal,A
Newcastle,Ipswich,H
Southampton,Chelsea,H
Tottenham,Sunderland,H
Everton,'Aston Villa',A
Derby,'West Ham',D
Arsenal,Derby,D
'Aston Villa',Tottenham,H
Bradford,Everton,A
Ipswich,Charlton,H
Leicester,Newcastle,D
'Man United',Middlesbrough,H
Sunderland,Southampton,D
'West Ham','Man City',H
Chelsea,Leeds,D
Liverpool,Coventry,H
Charlton,Chelsea,H
Derby,Bradford,H
Everton,Arsenal,H
Leeds,'West Ham',A
'Man City','Man United',A
Middlesbrough,Leicester,A
Newcastle,Sunderland,A
Southampton,'Aston Villa',H
Tottenham,Liverpool,H
Coventry,Ipswich,A
Charlton,Sunderland,A
Coventry,'Aston Villa',D
Derby,'Man United',A
Everton,Chelsea,H
'Man City',Ipswich,A
Middlesbrough,Bradford,D
Southampton,'West Ham',A
Tottenham,Leicester,H
Leeds,Arsenal,H
Newcastle,Liverpool,H
Arsenal,Southampton,H
'Aston Villa',Newcastle,D
Bradford,Coventry,H
Ipswich,Derby,A
Leicester,Leeds,H
Liverpool,Charlton,H
'Man United',Tottenham,H
'West Ham',Middlesbrough,H
Chelsea,'Man City',H
Sunderland,Everton,H
Arsenal,Newcastle,H
Bradford,Tottenham,D
Charlton,'Man United',D
Chelsea,Derby,H
'Man City',Everton,H
Southampton,Leeds,H
Sunderland,Middlesbrough,H
'West Ham','Aston Villa',D
Coventry,Leicester,H
Liverpool,Ipswich,A
'Aston Villa','Man City',D
Derby,Coventry,H
Everton,'West Ham',D
Ipswich,Southampton,H
Leeds,Sunderland,H
Leicester,Charlton,H
Middlesbrough,Chelsea,H
Newcastle,Bradford,H
'Man United',Liverpool,A
Tottenham,Arsenal,D
Coventry,Southampton,D
Charlton,Everton,H
Chelsea,Bradford,H
Derby,Newcastle,H
Leeds,'Aston Villa',A
Leicester,'West Ham',H
Liverpool,Arsenal,H
'Man United',Ipswich,H
Sunderland,'Man City',H
Tottenham,Middlesbrough,D
Arsenal,Leicester,H
'Aston Villa','Man United',A
Bradford,Sunderland,A
Everton,Coventry,A
Ipswich,Chelsea,D
'Man City',Derby,D
Middlesbrough,Liverpool,H
Newcastle,Leeds,H
'West Ham',Charlton,H
Southampton,Tottenham,H
Arsenal,Sunderland,D
Ipswich,Tottenham,H
'Man City',Charlton,A
Middlesbrough,Coventry,D
Newcastle,'Man United',D
Southampton,Derby,H
Charlton,Arsenal,H
Chelsea,'Aston Villa',H
Coventry,'Man City',D
Derby,Everton,H
Leeds,Middlesbrough,D
Leicester,Bradford,A
Liverpool,Southampton,H
'Man United','West Ham',H
Sunderland,Ipswich,H
Tottenham,Newcastle,H
Arsenal,Chelsea,D
'Aston Villa',Liverpool,A
Bradford,'Man United',A
Everton,Tottenham,D
'Man City',Leeds,A
Middlesbrough,Derby,H
Newcastle,Coventry,H
Southampton,Charlton,D
'West Ham',Sunderland,A
Ipswich,Leicester,H
Chelsea,Ipswich,H
Coventry,Everton,A
Derby,'Man City',D
Leeds,Newcastle,A
Leicester,Arsenal,D
Liverpool,Middlesbrough,D
'Man United','Aston Villa',H
Tottenham,Southampton,D
Sunderland,Bradford,D
Charlton,'West Ham',D
'Aston Villa',Leeds,A
Arsenal,Bradford,H
Charlton,Derby,H
Chelsea,Newcastle,H
Everton,Middlesbrough,D
Leeds,Coventry,H
'Man City',Liverpool,D
Southampton,Leicester,H
Sunderland,'Man United',A
'West Ham',Tottenham,D
Bradford,'Aston Villa',A
Coventry,Arsenal,A
